county_name,latitude,longitude,county
UNKNOWN,57.6,21.7,12
SAAREMAA,57.9,21.7,10
SAAREMAA,58.2,21.7,10
SAAREMAA,58.4,21.7,10
UNKNOWN,58.7,21.7,12
UNKNOWN,59.0,21.7,12
UNKNOWN,59.3,21.7,12
UNKNOWN,59.6,21.7,12
UNKNOWN,57.6,22.2,12
SAAREMAA,57.9,22.2,10
SAAREMAA,58.2,22.2,10
SAAREMAA,58.4,22.2,10
UNKNOWN,58.7,22.2,12
HIIUMAA,59.0,22.2,1
UNKNOWN,59.3,22.2,12
UNKNOWN,59.6,22.2,12
UNKNOWN,57.6,22.7,12
UNKNOWN,57.9,22.7,12
SAAREMAA,58.2,22.7,10
SAAREMAA,58.4,22.7,10
HIIUMAA,58.7,22.7,1
HIIUMAA,59.0,22.7,1
UNKNOWN,59.3,22.7,12
UNKNOWN,59.6,22.7,12
SAAREMAA,57.6,23.2,10
SAAREMAA,57.9,23.2,10
SAAREMAA,58.2,23.2,10
SAAREMAA,58.4,23.2,10
SAAREMAA,58.7,23.2,10
LÄÄNEMAA,59.0,23.2,6
UNKNOWN,59.3,23.2,12
UNKNOWN,59.6,23.2,12
UNKNOWN,57.6,23.7,12
PÄRNUMAA,57.9,23.7,7
PÄRNUMAA,58.2,23.7,7
PÄRNUMAA,58.4,23.7,7
LÄÄNEMAA,58.7,23.7,6
LÄÄNEMAA,59.0,23.7,6
HARJUMAA,59.3,23.7,0
UNKNOWN,59.6,23.7,12
UNKNOWN,57.6,24.2,12
PÄRNUMAA,57.9,24.2,7
PÄRNUMAA,58.2,24.2,7
PÄRNUMAA,58.4,24.2,7
RAPLAMAA,58.7,24.2,9
HARJUMAA,59.0,24.2,0
HARJUMAA,59.3,24.2,0
UNKNOWN,59.6,24.2,12
UNKNOWN,57.6,24.7,12
UNKNOWN,57.9,24.7,12
PÄRNUMAA,58.2,24.7,7
PÄRNUMAA,58.4,24.7,7
RAPLAMAA,58.7,24.7,9
RAPLAMAA,59.0,24.7,9
HARJUMAA,59.3,24.7,0
HARJUMAA,59.6,24.7,0
UNKNOWN,57.6,25.2,12
UNKNOWN,57.9,25.2,12
PÄRNUMAA,58.2,25.2,7
VILJANDIMAA,58.4,25.2,14
JÄRVAMAA,58.7,25.2,3
HARJUMAA,59.0,25.2,0
HARJUMAA,59.3,25.2,0
HARJUMAA,59.6,25.2,0
UNKNOWN,57.6,25.7,12
UNKNOWN,57.9,25.7,12
VILJANDIMAA,58.2,25.7,14
VILJANDIMAA,58.4,25.7,14
JÄRVAMAA,58.7,25.7,3
JÄRVAMAA,59.0,25.7,3
HARJUMAA,59.3,25.7,0
HARJUMAA,59.6,25.7,0
UNKNOWN,57.6,26.2,12
VALGAMAA,57.9,26.2,13
TARTUMAA,58.2,26.2,11
JÕGEVAMAA,58.4,26.2,4
JÕGEVAMAA,58.7,26.2,4
LÄÄNE-VIRUMAA,59.0,26.2,5
LÄÄNE-VIRUMAA,59.3,26.2,5
LÄÄNE-VIRUMAA,59.6,26.2,5
