longitude,latitude,temperature
21.7,57.6,0.4979398148148148
21.7,57.9,0.5913657407407407
21.7,58.2,0.5913657407407407
21.7,58.5,0.5913657407407407
21.7,58.8,1.6973842592592592
21.7,59.1,1.8459259259259257
21.7,59.4,1.5280324074074074
21.7,59.7,1.0631481481481482
22.2,57.6,0.14252314814814815
22.2,57.9,0.8782175925925926
22.2,58.2,0.18724537037037037
22.2,58.5,0.3729398148148148
22.2,58.8,-0.2631712962962963
22.2,59.1,-0.2631712962962963
22.2,59.4,1.2503472222222223
22.2,59.7,0.7949305555555556
22.7,57.6,0.2867824074074074
22.7,57.9,0.11692129629629629
22.7,58.2,-0.1112962962962963
22.7,58.5,-0.4638888888888889
22.7,58.8,-0.28342592592592597
22.7,59.1,-0.29141203703703705
22.7,59.4,0.952662037037037
22.7,59.7,-1.1356944444444443
23.2,57.6,0.77625
23.2,57.9,0.7960416666666666
23.2,58.2,0.28020833333333334
23.2,58.5,-0.47333333333333333
23.2,58.8,-0.6359259259259259
23.2,59.1,-0.1711574074074074
23.2,59.4,0.5736574074074073
23.2,59.7,-1.1356944444444443
23.7,57.6,0.576412037037037
23.7,57.9,0.37995370370370374
23.7,58.2,-0.7844675925925926
23.7,58.5,-1.0031712962962962
23.7,58.8,-1.2139814814814813
23.7,59.1,-1.1105787037037036
23.7,59.4,-1.093587962962963
23.7,59.7,-1.365787037037037
24.2,57.6,-0.8783564814814815
24.2,57.9,-1.5943287037037037
24.2,58.2,-1.4899537037037038
24.2,58.5,-1.7605324074074074
24.2,58.8,-2.1380324074074073
24.2,59.1,-2.3075462962962963
24.2,59.4,-1.3085185185185186
24.2,59.7,-0.27877314814814813
24.7,57.6,-2.1841203703703704
24.7,57.9,-2.1390509259259263
24.7,58.2,-2.4619907407407404
24.7,58.5,-2.613773148148148
24.7,58.8,-2.6911805555555555
24.7,59.1,-2.8184722222222223
24.7,59.4,-2.24162037037037
24.7,59.7,-1.6555555555555554
25.2,57.6,-2.672083333333333
25.2,57.9,-2.5556944444444447
25.2,58.2,-2.850486111111111
25.2,58.5,-2.718287037037037
25.2,58.8,-3.263425925925926
25.2,59.1,-3.0798148148148146
25.2,59.4,-2.695949074074074
25.2,59.7,-1.8012037037037036
25.7,57.6,-2.962685185185185
25.7,57.9,-3.020810185185185
25.7,58.2,-3.5168749999999998
25.7,58.5,-3.204976851851852
25.7,58.8,-3.299606481481481
25.7,59.1,-3.6215277777777777
25.7,59.4,-3.175185185185185
25.7,59.7,-1.9690046296296297
26.2,57.6,-3.3073611111111108
26.2,57.9,-3.1864351851851853
26.2,58.2,-3.4855555555555555
26.2,58.5,-3.352337962962963
26.2,58.8,-3.4747222222222223
26.2,59.1,-3.6018287037037036
26.2,59.4,-3.277037037037037
26.2,59.7,-2.1619212962962964
26.7,57.6,-3.4424537037037037
26.7,57.9,-3.5593287037037036
26.7,58.2,-3.510300925925926
26.7,58.5,-3.3157870370370373
26.7,58.8,-3.550625
26.7,59.1,-3.75474537037037
26.7,59.4,-3.4468981481481484
26.7,59.7,-2.441875
27.2,57.6,-3.6308796296296295
27.2,57.9,-3.584490740740741
27.2,58.2,-3.1546064814814816
27.2,58.5,-3.1641203703703704
27.2,58.8,-3.0992824074074075
27.2,59.1,-3.7260185185185186
27.2,59.4,-3.292800925925926
27.2,59.7,-1.6735416666666667
27.7,57.6,-3.542824074074074
27.7,57.9,-3.417199074074074
27.7,58.2,-3.33625
27.7,58.5,-3.2928472222222225
27.7,58.8,-3.428611111111111
27.7,59.1,-3.5680555555555555
27.7,59.4,-3.292384259259259
27.7,59.7,-2.731111111111111
28.2,57.6,-3.5681249999999998
28.2,57.9,-3.516828703703704
28.2,58.2,-3.727592592592593
28.2,58.5,-3.7248842592592593
28.2,58.8,-3.9499537037037036
28.2,59.1,-3.759351851851852
28.2,59.4,-3.420763888888889
28.2,59.7,-3.2905555555555557
